ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
926282,2014-04-19,2014-04-19,Olympic,29,M,H,100 S  VIRGIL                       AV,34.0735,-118.2868,Battery Crime,Bodily Harm,Violent Crimes,0.993789233
926346,2014-07-07,2014-06-25,Wilshire,63,F,B,1900 S  RIDGELEY                     DR,34.0409,-118.3586,Theft,Property Crime,Non-Violent Crimes,0.999247167
926872,2014-07-29,2014-07-29,Pacific,38,M,W,600    WASHINGTON                   BL,33.985,-118.4574,Theft,Property Crime,Non-Violent Crimes,0.997723541
927262,2014-12-09,2014-11-21,77th Street,79,M,B,7600    CRENSHAW                     BL,33.9709,-118.3308,Theft,Property Crime,Non-Violent Crimes,0.993316999
927353,2014-07-27,2014-07-26,Southwest,22,M,O,3400    7TH                          AV,34.0256,-118.3248,Theft,Property Crime,Non-Violent Crimes,0.992298189
927473,2014-03-09,2014-03-09,West LA,31,M,O,12000    WILSHIRE                     BL,34.0453,-118.466,Theft,Property Crime,Non-Violent Crimes,0.995277697
927475,2014-02-28,2014-02-27,Topanga,63,F,O,20000    VENTURA                      BL,34.1719,-118.5684,Theft,Property Crime,Non-Violent Crimes,0.993521242
927561,2014-06-22,2014-06-22,Central,69,M,B,7TH                          ST,34.0372,-118.2418,Assault,Bodily Harm,Violent Crimes,0.998679356
927836,2014-06-20,2014-05-28,Van Nuys,49,F,W,4600    WILLIS                       AV,34.1545,-118.4552,Fraud,White Collar Crime,Non-Violent Crimes,0.992597795
927911,2014-09-22,2014-09-22,Southwest,17,M,B,2200 W  JEFFERSON                    BL,34.0256,-118.3193,Assault,Bodily Harm,Violent Crimes,0.995485168
927950,2014-08-12,2014-08-12,Hollenbeck,50,M,H,VALLEY                       BL,34.0651,-118.2081,Assault,Bodily Harm,Violent Crimes,0.993220174
927966,2014-01-20,2014-01-19,Van Nuys,43,F,W,5400 N  SEPULVEDA                    BL,34.1685,-118.4662,Theft,Property Crime,Non-Violent Crimes,0.994503175
928218,2014-10-29,2014-10-29,West LA,48,M,H,SANTA MONICA                 BL,34.0366,-118.3807,Battery Crime,Bodily Harm,Violent Crimes,0.998527576
928384,2014-05-30,2014-05-19,77th Street,48,F,B,1500 W  92ND                         ST,33.9527,-118.3024,Fraud,White Collar Crime,Non-Violent Crimes,0.998997217
928457,2014-12-23,2014-12-09,Southwest,73,F,H,3900    HALLDALE                     AV,34.0155,-118.3023,Theft,Property Crime,Non-Violent Crimes,0.993193411
928892,2014-08-12,2014-05-02,Hollywood,31,F,W,1300 N  SIERRA BONITA                AV,34.0944,-118.3539,Theft,Property Crime,Non-Violent Crimes,0.998419426
929310,2014-12-24,2014-12-08,Hollywood,26,M,B,1200 N  ORANGE                       DR,34.0926,-118.3416,Theft,Property Crime,Non-Violent Crimes,0.995525618
929575,2014-10-05,2014-10-04,Mission,24,F,H,8300    VAN NUYS                     BL,34.2216,-118.4488,Theft,Property Crime,Non-Violent Crimes,0.995894212
929645,2014-07-14,2014-06-27,Pacific,40,M,B,9700    GLASGOW                      PL,33.9481,-118.3722,Theft,Property Crime,Non-Violent Crimes,0.993920074
929826,2014-09-01,2014-08-31,Van Nuys,31,M,B,4300 N  SEPULVEDA                    BL,34.1485,-118.4692,Theft,Property Crime,Non-Violent Crimes,0.992209572
929968,2014-07-28,2014-07-07,N Hollywood,29,F,W,COLFAX                       AV,34.1687,-118.3877,Battery Crime,Bodily Harm,Violent Crimes,0.998926888
930058,2015-07-17,2014-11-01,West Valley,35,M,O,7700    AMESTOY                      AV,34.2105,-118.5055,Theft,Property Crime,Non-Violent Crimes,0.997881091
930319,2014-08-29,2014-08-28,Hollenbeck,20,F,H,300 S  BOYLE                        AV,34.0454,-118.2198,Assault,Bodily Harm,Violent Crimes,0.996887329
930372,2014-01-27,2014-01-27,Mission,33,F,H,8400    WILLIS                       AV,34.2231,-118.4553,Assault,Bodily Harm,Violent Crimes,0.993027142
930954,2014-11-29,2014-11-29,West Valley,50,F,H,7700    WILBUR                       AV,34.2102,-118.5448,Assault,Bodily Harm,Violent Crimes,0.995786901
930993,2014-05-29,2014-05-29,West LA,54,M,W,1700    AMHERST                      AV,34.0367,-118.4605,Theft,Property Crime,Non-Violent Crimes,0.991508253
931100,2014-06-10,2014-06-10,Topanga,28,M,H,7400    ALABAMA                      AV,34.2047,-118.599,Assault,Bodily Harm,Violent Crimes,0.992354603
931105,2014-04-20,2014-04-20,Southwest,42,M,B,3800 S  HARVARD                      BL,34.0174,-118.3067,Battery Crime,Bodily Harm,Violent Crimes,0.993669555
931559,2014-01-19,2014-01-19,Topanga,19,M,W,TOPANGA CANYON               BL,34.172,-118.6058,Assault,Bodily Harm,Violent Crimes,0.992060833
931695,2014-06-19,2014-06-19,Rampart,28,F,W,1000    MANZANITA                    ST,34.0906,-118.2827,Theft,Property Crime,Non-Violent Crimes,0.998953522
931836,2014-06-23,2014-06-22,Rampart,24,M,H,800 S  BURLINGTON                   AV,34.0534,-118.2745,Theft,Property Crime,Non-Violent Crimes,0.995719048
931847,2014-07-12,2014-07-03,77th Street,31,M,B,600 W  77TH                         ST,33.9698,-118.2842,Theft,Property Crime,Non-Violent Crimes,0.991485221
932004,2014-10-21,2014-10-21,Harbor,41,F,O,500 S  GAFFEY                       ST,33.7397,-118.2923,Theft,Property Crime,Non-Violent Crimes,0.999706721
932108,2014-05-10,2014-05-10,Southeast,37,M,H,100 E  MANCHESTER                   AV,33.9601,-118.2739,Assault,Bodily Harm,Violent Crimes,0.991664104
932293,2014-08-01,2014-08-01,Devonshire,49,F,W,15600    STARE                        ST,34.2528,-118.4729,Theft,Property Crime,Non-Violent Crimes,0.992013103
932388,2014-11-11,2014-11-11,Mission,34,F,W,8000    VAN NUYS                     BL,34.2162,-118.4488,Theft,Property Crime,Non-Violent Crimes,0.990894487
932439,2014-07-05,2014-07-04,Rampart,73,M,B,600 S  ALVARADO                     ST,34.0596,-118.2749,Theft,Property Crime,Non-Violent Crimes,0.997229479
