ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
1282717,2016-02-08,2016-02-08,Central,43,M,H,600 S  SAN PEDRO                    ST,34.0421,-118.2469,Robbery,Robbery,Violent Crimes,0.995886411
1282902,2016-02-11,2016-02-10,N Hollywood,68,M,W,300    UNIVERSAL HO                 DR,34.1361,-118.357,Theft,Property Crime,Non-Violent Crimes,0.994618368
1282990,2016-08-25,2016-08-22,Newton,61,F,B,1200 E  54TH                         ST,33.9939,-118.2543,Theft,Property Crime,Non-Violent Crimes,0.996362032
1283008,2016-03-09,2016-03-09,77th Street,51,M,B,WEST                         BL,33.9745,-118.3352,Assault,Bodily Harm,Violent Crimes,0.998753967
1283262,2016-10-25,2016-10-25,Newton,50,F,H,47TH                         ST,34.0011,-118.2565,Battery Crime,Bodily Harm,Violent Crimes,0.992965715
1283390,2016-07-21,2016-07-21,Southwest,25,M,H,4000 S  WESTERN                      AV,34.0109,-118.3089,Robbery,Robbery,Violent Crimes,0.990183951
1283502,2016-04-02,2016-04-02,Central,50,M,H,300 W  7TH                          ST,34.0452,-118.2534,Theft,Property Crime,Non-Violent Crimes,0.994852616
1283962,2016-10-21,2016-10-21,West Valley,30,F,H,18300    ROSCOE                       BL,34.2208,-118.5317,Theft,Property Crime,Non-Violent Crimes,0.993929205
1284064,2016-08-21,2016-08-20,77th Street,39,F,B,5300 S  VICTORIA                     AV,33.995,-118.3322,Theft,Property Crime,Non-Violent Crimes,0.996930188
1284370,2016-09-09,2016-09-09,77th Street,17,F,B,700 W  56TH                         ST,33.9915,-118.2856,Battery Crime,Bodily Harm,Violent Crimes,0.995031562
1284563,2016-12-14,2016-12-14,Van Nuys,23,F,H,14300    VALERIO                      ST,34.2048,-118.4443,Assault,Bodily Harm,Violent Crimes,0.995263404
1284610,2016-02-10,2016-02-10,Southeast,66,F,H,100 W  89TH                         ST,33.9556,-118.2739,Assault,Bodily Harm,Violent Crimes,0.995128495
1284918,2016-06-23,2016-06-23,Southwest,28,M,B,4000    CRENSHAW                     BL,34.0124,-118.3351,Theft,Property Crime,Non-Violent Crimes,0.997854662
1285007,2016-05-10,2016-05-09,Northeast,55,M,H,1600    RIVERSIDE                    DR,34.0932,-118.2407,Theft,Property Crime,Non-Violent Crimes,0.993364247
1285043,2016-05-19,2016-05-19,Central,32,M,H,800 W  7TH                          ST,34.0491,-118.2558,Assault,Bodily Harm,Violent Crimes,0.99347694
1285563,2017-06-06,2016-01-16,Central,39,F,H,ALAMEDA,34.0455,-118.2381,Theft,Property Crime,Non-Violent Crimes,0.994174184
1285687,2016-04-02,2016-04-02,Mission,29,M,W,SEPULVEDA                    BL,34.2428,-118.4675,Robbery,Robbery,Violent Crimes,0.991084838
1285878,2016-11-01,2016-11-01,Topanga,40,F,W,6100    CANOGA                       AV,34.1805,-118.5975,Theft,Property Crime,Non-Violent Crimes,0.993419727
1285897,2016-11-11,2016-11-11,Hollenbeck,45,F,H,2700    MARENGO                      ST,34.0546,-118.1978,Theft,Property Crime,Non-Violent Crimes,0.994671786
1286149,2016-05-26,2016-05-26,Wilshire,54,F,H,1400 S  HIGHLAND                     AV,34.048,-118.3434,Assault,Bodily Harm,Violent Crimes,0.991753896
1286218,2016-12-15,2016-12-15,Wilshire,39,M,H,1500 S  SYCAMORE                     AV,34.0466,-118.3486,Robbery,Robbery,Violent Crimes,0.993598309
1286265,2016-02-10,2016-02-10,Devonshire,74,M,W,19200    OLYMPIA                      ST,34.2654,-118.5513,Theft,Property Crime,Non-Violent Crimes,0.996439467
1286290,2016-10-19,2016-10-18,Southwest,45,F,H,1400 W  JEFFERSON                    BL,34.0273,-118.3024,Theft,Property Crime,Non-Violent Crimes,0.991275558
1286344,2016-12-21,2016-11-18,Newton,26,F,H,6100 S  MAIN                         ST,33.9843,-118.2739,Theft,Property Crime,Non-Violent Crimes,0.993161937
1286859,2016-12-16,2016-12-15,Topanga,65,F,O,5500    CANOGA                       AV,34.1715,-118.5974,Theft,Property Crime,Non-Violent Crimes,0.990996755
