ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
748762,26/04/2013,2013-04-24,N Hollywood,66,M,W,5500    CAMELLIA                     AV,34.1705,-118.3822,Theft,Property Crime,Non-Violent Crimes,0.99229852
748994,01/07/2013,2013-06-22,Southwest,26,F,W,3900    ROXANNE                      AV,34.0162,-118.3482,Theft,Property Crime,Non-Violent Crimes,0.993607924
749572,31/08/2013,2013-08-31,Rampart,4,F,H,400 S  BURLINGTON                   AV,34.0605,-118.2694,Assault,Bodily Harm,Violent Crimes,0.993908201
749830,05/06/2013,2013-06-04,Southeast,22,F,H,8900 S  AVALON                       BL,33.9556,-118.2651,Theft,Property Crime,Non-Violent Crimes,0.996506987
750311,26/02/2013,2013-02-25,Mission,29,M,H,SEPULVEDA                    BL,34.2392,-118.4675,Theft,Property Crime,Non-Violent Crimes,0.990394744
750337,11/12/2013,2013-07-29,N Hollywood,29,M,W,4800    LAUREL CANYON                BL,34.1576,-118.3965,Embezzlement,Property Crime,Non-Violent Crimes,0.991407536
750469,01/08/2013,2013-07-31,Wilshire,46,M,W,500 N  ROSSMORE                     AV,34.079,-118.3273,Theft,Property Crime,Non-Violent Crimes,0.998476132
750943,22/08/2013,2013-08-07,Northeast,60,F,O,2900    FINCH                        ST,34.1113,-118.2618,Theft,Property Crime,Non-Violent Crimes,0.992209051
751297,17/05/2013,2013-05-16,Devonshire,32,F,F,11400    WOODLEY                      AV,34.2776,-118.4847,Battery Crime,Bodily Harm,Violent Crimes,0.997678682
751611,10/08/2013,2013-07-12,N Hollywood,50,F,H,11400    KILLION                      ST,34.1713,-118.3795,Rape,Rape,Violent Crimes,0.997978291
751692,23/10/2013,2013-10-23,Harbor,27,F,B,900    WILMINGTON                   BL,33.7808,-118.2743,Battery Crime,Bodily Harm,Violent Crimes,0.999854353
751725,19/11/2013,2013-11-18,Southeast,54,F,B,800 E  111TH                        PL,33.9352,-118.2608,Theft,Property Crime,Non-Violent Crimes,0.994935435
751817,28/11/2013,2013-11-21,Wilshire,24,M,A,8500 W  3RD                          ST,34.0734,-118.3765,Assault,Bodily Harm,Violent Crimes,0.997439896
752120,12/09/2013,2013-09-11,N Hollywood,46,F,H,10800    OXNARD                       ST,34.1794,-118.3659,Theft,Property Crime,Non-Violent Crimes,0.99188187
752202,09/05/2013,2013-05-09,77th Street,24,F,B,9500 S  WESTERN                      AV,33.9499,-118.309,Battery Crime,Bodily Harm,Violent Crimes,0.997161585
752292,11/06/2013,2013-06-01,Foothill,33,F,W,7600    WESTLAND                     AV,34.2094,-118.4034,Theft,Property Crime,Non-Violent Crimes,0.996601277
752537,02/10/2013,2013-07-01,Olympic,31,M,A,600    IROLO                        ST,34.0602,-118.3009,Theft,Property Crime,Non-Violent Crimes,0.990685376
752565,25/11/2013,2013-11-24,Hollywood,37,M,W,ORANGE,34.1016,-118.3414,Battery Crime,Bodily Harm,Violent Crimes,0.993192614
753233,29/04/2013,2013-04-28,Olympic,18,F,H,JAMES M WOOD                 BL,34.0559,-118.2976,Rape,Rape,Violent Crimes,0.995830393
753332,15/01/2013,2013-01-15,Central,59,M,H,500 S  GRAND                        AV,34.0502,-118.254,Battery Crime,Bodily Harm,Violent Crimes,0.991254952
753387,11/06/2013,2013-06-11,Hollenbeck,55,F,H,900 S  BREED                        ST,34.0349,-118.2169,Battery Crime,Bodily Harm,Violent Crimes,0.996934299
753524,07/04/2013,2013-04-07,Southeast,24,F,H,115TH                        ST,33.9303,-118.2391,Robbery,Robbery,Violent Crimes,0.996347307
753834,25/09/2013,2013-09-23,Southeast,25,F,B,1100 E  114TH                        ST,33.931,-118.2565,Assault,Bodily Harm,Violent Crimes,0.991795105
754117,16/03/2013,2013-03-14,Van Nuys,54,F,W,14700    GREENLEAF                    ST,34.1491,-118.4543,Theft,Property Crime,Non-Violent Crimes,0.993504175
755007,12/02/2013,2013-02-08,Southwest,40,M,H,800 W  MARTIN LUTHER KING JR        BL,34.0111,-118.2872,Theft,Property Crime,Non-Violent Crimes,0.99620015
755085,01/07/2013,2013-06-30,Mission,30,F,H,9400    DORRINGTON                   AV,34.2409,-118.4422,Theft,Property Crime,Non-Violent Crimes,0.992108152
755291,04/02/2013,2013-02-04,Devonshire,35,M,W,CHATSWORTH                   ST,34.2649,-118.5176,Battery Crime,Bodily Harm,Violent Crimes,0.99593415
755438,25/10/2013,2013-10-25,Olympic,76,M,A,3100 W  8TH                          ST,34.0578,-118.2941,Robbery,Robbery,Violent Crimes,0.9992547
755451,08/06/2013,2013-06-06,Foothill,41,M,W,7700    FOOTHILL                     BL,34.2566,-118.3001,Theft,Property Crime,Non-Violent Crimes,0.995549268
755745,10/07/2013,2013-06-28,Pacific,69,F,B,8600    BELFORD                      AV,33.9599,-118.3839,Theft,Property Crime,Non-Violent Crimes,0.990849941
755761,26/10/2013,2013-10-26,Van Nuys,22,M,H,SHERMAN                      WY,34.2012,-118.4487,Robbery,Robbery,Violent Crimes,0.999268088
755871,08/09/2013,2013-09-08,Southwest,27,F,B,3600 W  MARTIN LUTHER KING JR        BL,34.011,-118.3351,Battery Crime,Bodily Harm,Violent Crimes,0.997529159
755901,10/02/2013,2013-02-10,Mission,29,M,H,ASTORIA,34.2949,-118.4571,Assault,Bodily Harm,Violent Crimes,0.996548853
755961,23/01/2013,2013-01-12,Southwest,66,M,B,3200 W  VERNON                       AV,34.0037,-118.3281,Theft,Property Crime,Non-Violent Crimes,0.992675625
756026,23/01/2013,2013-01-20,77th Street,64,M,H,6200 S  FIGUEROA                     ST,33.9833,-118.2827,Theft,Property Crime,Non-Violent Crimes,0.997627092
756110,26/10/2013,2013-10-26,Hollywood,23,F,H,SUNSET                       BL,34.098,-118.3295,Theft,Property Crime,Non-Violent Crimes,0.990907495
756256,31/07/2013,2013-07-30,Mission,39,F,H,8700    PARTHENIA                    PL,34.2286,-118.4644,Theft,Property Crime,Non-Violent Crimes,0.998573418
756406,07/05/2013,2013-04-01,Pacific,44,M,W,6600    SEABLUFF                     DR,33.9719,-118.4216,Theft,Property Crime,Non-Violent Crimes,0.997272038
756825,13/08/2013,2013-08-09,Topanga,52,F,W,7800    JUMILLA                      AV,34.2132,-118.5632,Theft,Property Crime,Non-Violent Crimes,0.997380428
756845,10/09/2013,2013-08-14,77th Street,35,M,H,7100    RAYMOND                      AV,33.9754,-118.2981,Theft,Property Crime,Non-Violent Crimes,0.991510692
756981,23/03/2013,2013-03-23,Hollywood,42,F,O,SIERRA BONITA                AV,34.1035,-118.3539,Theft,Property Crime,Non-Violent Crimes,0.995072989
757175,07/06/2013,2013-06-07,West Valley,54,M,H,BALBOA,34.1866,-118.5011,Robbery,Robbery,Violent Crimes,0.994433773
