ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
523823,27/10/2012,10/10/2012,Devonshire,58,M,O,9000    GLADBECK                     AV,34.2333,-118.539,Theft,Property Crime,Non-Violent Crimes,0.999752721
524226,15/05/2012,15/05/2012,Central,30,M,B,400 E  7TH                          ST,34.0419,-118.2485,Assault,Bodily Harm,Violent Crimes,0.999119989
525005,14/03/2012,14/03/2012,West LA,44,F,W,2000    PROSSER                      AV,34.0513,-118.4273,Theft,Property Crime,Non-Violent Crimes,0.999427637
525171,10/07/2012,08/07/2012,Foothill,67,F,H,12500    CORRENTI                     ST,34.2544,-118.4057,Battery Crime,Bodily Harm,Violent Crimes,0.999191073
526402,24/03/2012,23/03/2012,77th Street,34,F,H,100 W  73RD                         ST,33.9737,-118.2739,Theft,Property Crime,Non-Violent Crimes,0.99939203
527570,11/12/2012,27/11/2012,Southeast,49,M,B,11800    ORCHARD                      AV,33.9265,-118.2881,Theft,Property Crime,Non-Violent Crimes,0.999740086
529134,17/12/2012,17/12/2012,Southwest,52,M,H,1300 W  36TH                         ST,34.0229,-118.2974,Robbery,Robbery,Violent Crimes,0.999944742
530775,04/04/2012,01/04/2012,N Hollywood,33,F,O,11300    MORRISON                     ST,34.1608,-118.3774,Assault,Bodily Harm,Violent Crimes,0.999931576
530826,06/09/2017,06/02/2012,Foothill,42,M,A,11000    IRMA                         AV,34.2688,-118.3006,Theft,Property Crime,Non-Violent Crimes,0.999017989
533445,20/09/2012,20/09/2012,Devonshire,32,F,H,15600    KALISHER                     ST,34.2764,-118.4723,Assault,Bodily Harm,Violent Crimes,0.999448704
536944,19/03/2012,19/03/2012,West Valley,73,M,W,17500    EMBASSY                      DR,34.1633,-118.5142,Theft,Property Crime,Non-Violent Crimes,0.999884467
537468,05/07/2012,05/07/2012,Central,61,M,B,200 W  6TH                          ST,34.046,-118.2509,Assault,Bodily Harm,Violent Crimes,0.999828189
538670,17/04/2012,17/04/2012,Hollywood,31,M,O,1600 N  POINSETTIA                   PL,34.0998,-118.3479,Battery Crime,Bodily Harm,Violent Crimes,0.99951052
540685,30/11/2012,21/11/2012,Olympic,57,F,H,1300 W  20TH                         ST,34.0382,-118.284,Theft,Property Crime,Non-Violent Crimes,0.999297686
545641,05/10/2012,05/10/2012,West LA,39,M,H,8900    CADILLAC                     AV,34.0403,-118.3846,Robbery,Robbery,Violent Crimes,0.999664921
549091,25/09/2012,25/09/2012,Pacific,59,M,W,3700    WATSEKA                      AV,34.0267,-118.3986,Battery Crime,Bodily Harm,Violent Crimes,0.99992083
550395,26/01/2013,06/12/2012,Southwest,22,M,H,3000 S  FLOWER                       ST,34.0245,-118.2768,Theft,Property Crime,Non-Violent Crimes,0.999162626
551285,04/10/2012,03/10/2012,West Valley,22,M,W,19000    SHERMAN                      WY,34.2011,-118.547,Battery Crime,Bodily Harm,Violent Crimes,0.99921209
552388,21/02/2012,18/02/2012,West Valley,25,F,H,6800    LOUISE                       AV,34.1939,-118.5098,Assault,Bodily Harm,Violent Crimes,0.999053017
554095,20/08/2012,20/08/2012,Van Nuys,41,F,B,14300    FRIAR                        ST,34.1857,-118.4444,Assault,Bodily Harm,Violent Crimes,0.999806241
554494,04/04/2012,01/02/2012,Mission,51,F,H,15500    MCKEEVER                     ST,34.2748,-118.4699,Theft,Property Crime,Non-Violent Crimes,0.999441986
555638,02/07/2012,04/05/2012,Harbor,28,M,O,3700    STEPHEN M WHITE              DR,33.7105,-118.286,Theft,Property Crime,Non-Violent Crimes,0.999330565
558038,29/08/2012,29/08/2012,Mission,25,F,H,11000    OMELVENY                     AV,34.2699,-118.4394,Assault,Bodily Harm,Violent Crimes,0.999440002
